domains,cse
sbi.co.in,State Bank of India (SBI)
onlinesbi.sbi.bank.in,State Bank of India (SBI)
retail.sbi.bank.in/retail/login.htm,State Bank of India (SBI)
sbilife.co.in,State Bank of India (SBI)
corp.onlinesbi.sbi/corporate,State Bank of India (SBI)
sbimf.com,State Bank of India (SBI)
sbicard.com,State Bank of India (SBI)
homeloans.sbi,State Bank of India (SBI)
sbisecurities.in,State Bank of India (SBI)
sbi.bank.in,State Bank of India (SBI)
pnb.bank.in,Punjab National Bank (PNB)
pnbindia.in/home.html,Punjab National Bank (PNB)
netpnb.com,Punjab National Bank (PNB)
pnbint.com,Punjab National Bank (PNB)
bankofbaroda.bank.in,Bank of Baroda
onlinecasa.bankofbaroda.com,Bank of Baroda
hdfc.bank.in/nri-banking,HDFC Bank
netbanking.hdfcbank.com/netbanking/,HDFC Bank
hdfc.com,HDFC Bank
hdfclife.com,HDFC Bank
hdfcfund.com,HDFC Bank
icici.bank.in,ICICI Bank
icicicareers.com,ICICI Bank
icicidirect.com,ICICI Bank
iciciprulife.com,ICICI Bank
icicisecurities.com,ICICI Bank
icicilombard.com,ICICI Bank
retailnetbanking.icici.bank.in,ICICI Bank
infiniti.icicibank.com,ICICI Bank
rebit.org.in,Reserve Bank of India (RBI)
rbi.org.in,Reserve Bank of India (RBI)
axis.bank.in,Axis Bank
axismf.com,Axis Bank
axismaxlife.com,Axis Bank
bseindia.com,BSE Ltd.
bsestarmf.in,BSE Ltd.
canarabank.com,Canara Bank
canarabank.bank.in,Canara Bank
canararobeco.com,Canara Bank
canarahsbclife.com,Canara Bank
camsonline.com,Computer Age Management Services Ltd. (CAMS)
indusind.bank.in,IndusInd Bank
kfintech.com,Kfintech
idfcfirst.bank.in,IDFC FIRST Bank
idfcfirstbank.com,
incometax.gov.in,Income Tax Department
incometaxindiaefiling.gov.in,Income Tax Department
contents.tdscpc.gov.in,Income Tax Department
incometaxindia.gov.in,Income Tax Department
crsorgi.gov.in,"Civil Registration System, MHA (RGCCI)"
nic.gov.in,National Informatics Centre (NIC)
kavach.mail.gov.in,National Informatics Centre (NIC)
authwebmail.nic.in,National Informatics Centre (NIC)
accounts.mgovcloud.in,National Informatics Centre (NIC)
cloud.gov.in,National Informatics Centre (NIC)
uidai.gov.in,"Unique Identification Authority of India (UIDAI)
"
eci.gov.in,Election Commision of India (ECI)
nha.gov.in,National Health Authority (NHA)
abdm.gov.in,National Health Authority (NHA)
aiims.edu,All India Institute of Medical Sciences (AIIMS)
aiimsexams.ac.in,All India Institute of Medical Sciences (AIIMS)
iocl.com,Indian Oil Corporation Limited (IOCL)
indianoilcgd.com,Indian Oil Corporation Limited (IOCL)
coalindia.in,Coal India
coalindiatenders.nic.in,Coal India
isro.gov.in,Indian Space Research Organisation (ISRO)
