domain,favicon_hash,hash_algorithm,status,final_url
abdm.gov.in,bd2ac6cd30947d62,phash64,success,https://abdm.gov.in
accounts.mgovcloud.in,,phash64,image_hash_failed,https://accounts.mgovcloud.in
aiims.edu,,phash64,image_hash_failed,https://aiims.edu/index.php/en
aiimsexams.ac.in,90b343616fbd9a4c,phash64,success,https://aiimsexams.ac.in
airindia.com,,phash64,fetch_failed,http://airindia.com
airindiaexpress.com,869e716758d84766,phash64,success,https://www.airindiaexpress.com/home
airtel.in,c08d497f6e9a24e9,phash64,success,https://www.airtel.in/
airtelpayments.bank.in,819f7eae95520b19,phash64,success,https://www.airtelpayments.bank.in/
ana.crsorgi.gov.in,,phash64,image_hash_failed,https://ana.crsorgi.gov.in/bi-security-login/login.jsp?msi=false&mt=false&profileMust=true&redirect=L2FuYWx5dGljcy9zYXcuZGxsP2JpZWVob21lJnN0YXJ0UGFnZT0xJmhhc2g9NWZCSXZmTDMxUVl0V0hLajBqaGR1aTg1THlFSFJHMEc0QnI5NmF0VmtXSHJLeW5uRUR1a3pGMXNwNE5JQ2JtVQ==
api.census.gov.in,,phash64,fetch_failed,http://api.census.gov.in
api.crsorgi.gov.in,,phash64,image_hash_failed,https://api.crsorgi.gov.in/devportal/
apidel.census.gov.in,,phash64,fetch_failed,http://apidel.census.gov.in
apilko.census.gov.in,,phash64,fetch_failed,http://apilko.census.gov.in
assam.census.gov.in,ee9fa160b4d8c703,phash64,success,https://assam.census.gov.in
authwebmail.nic.in,,phash64,fetch_failed,http://authwebmail.nic.in
axis.bank.in,ea66c2d9b536e031,phash64,success,https://www.axis.bank.in/
axismaxlife.com,e9c59616961bce19,phash64,success,http://axismaxlife.com
axismf.com,969965664b999267,phash64,success,https://www.axismf.com/
bankofbaroda.bank.in,af63c5c4848f923d,phash64,success,https://bankofbaroda.bank.in
books.census.gov.in,,phash64,image_hash_failed,https://books.census.gov.in
bseindia.com,ea08c0f81fc178df,phash64,success,https://www.bseindia.com/
bsestarmf.in,b66619663c8f648e,phash64,success,https://bsestarmf.in/index.aspx
bsnl.co.in,,phash64,image_hash_failed,https://bsnl.co.in
camsonline.com,b4c6999bc33cc632,phash64,success,https://www.camsonline.com/
canarabank.bank.in,,phash64,image_hash_failed,https://www.canarabank.bank.in/
canarabank.com,,phash64,fetch_failed,http://canarabank.com
canarahsbclife.com,99996c9933333333,phash64,success,https://www.canarahsbclife.com/
canararobeco.com,c7309ec93c9b6586,phash64,success,https://www.canararobeco.com/
cats.census.gov.in,,phash64,image_hash_failed,https://cats.census.gov.in/bi-security-login/login.jsp;jsessionid=rwLk1A004ytepdiQMmnrPqSLBAAGuZPxVIblc-NJTw8g6KotnHQZ!-990805096?msi=false&mt=false&profileMust=true&redirect=L2R2L3VpL2hvbWUuanNwP2hhc2g9YzRrVkZISzFqb2hvRmV1SzliRFpzUW1Bc2J6ZXg4VFNHcVFqajhxcVlfTTNOWFJWNDB4UW5zMnF5WXdtTzYwRA==
census-test.census.gov.in,,phash64,fetch_failed,http://census-test.census.gov.in
census.gov.in,,phash64,image_hash_failed,https://census.gov.in
censusindia.gov.in,,phash64,fetch_failed,http://censusindia.gov.in
censussahayak.census.gov.in,,phash64,fetch_failed,http://censussahayak.census.gov.in
chandigarh.census.gov.in,,phash64,fetch_failed,http://chandigarh.census.gov.in
cloud.gov.in,933b6c666c6472c5,phash64,success,https://cloud.gov.in/user/
