domain,logo_hash,hash_algorithm,status,final_url
abdm.gov.in,,phash64,image_hash_failed,https://abdm.gov.in
accounts.mgovcloud.in,,phash64,image_hash_failed,https://accounts.mgovcloud.in/
aiims.edu,ba909028adfdf4d4,phash64,success,https://aiims.edu/index.php/en
aiimsexams.ac.in,909769693f3226e5,phash64,success,https://aiimsexams.ac.in
airindia.com,,phash64,fetch_failed,http://airindia.com
airindiaexpress.com,,phash64,image_hash_failed,https://www.airindiaexpress.com/home
airtel.in,,phash64,image_hash_failed,https://www.airtel.in/
airtelpayments.bank.in,,phash64,fetch_failed,https://www.airtelpayments.bank.in/
ana.crsorgi.gov.in,8cd3d3a1c1d1c1af,phash64,success,https://ana.crsorgi.gov.in/bi-security-login/login.jsp?msi=false&mt=false&profileMust=true&redirect=L2FuYWx5dGljcy9zYXcuZGxsP2JpZWVob21lJnN0YXJ0UGFnZT0xJmhhc2g9NWZCSXZmTDMxUVl0V0hLajBqaGR1aTg1THlFSFJHMEc0QnI5NmF0VmtXSHJLeW5uRUR1a3pGMXNwNE5JQ2JtVQ==
api.census.gov.in,,phash64,fetch_failed,http://api.census.gov.in
api.crsorgi.gov.in,,phash64,image_hash_failed,https://api.crsorgi.gov.in/devportal/
apidel.census.gov.in,,phash64,image_hash_failed,https://apidel.census.gov.in/
apilko.census.gov.in,,phash64,image_hash_failed,https://apilko.census.gov.in/
assam.census.gov.in,,phash64,image_hash_failed,https://assam.census.gov.in
authwebmail.nic.in,,phash64,fetch_failed,http://authwebmail.nic.in
axis.bank.in,,phash64,image_hash_failed,https://www.axis.bank.in/
axismaxlife.com,,phash64,image_hash_failed,https://www.axismaxlife.com/
axismf.com,,phash64,image_hash_failed,https://www.axismf.com/
bankofbaroda.bank.in,999e0ef0721662f9,phash64,success,https://bankofbaroda.bank.in
books.census.gov.in,ab86d469c98e3e31,phash64,success,https://books.census.gov.in
bseindia.com,,phash64,image_hash_failed,https://www.bseindia.com/
bsestarmf.in,ee4b344b7987528c,phash64,success,https://bsestarmf.in
bsnl.co.in,,phash64,image_hash_failed,https://bsnl.co.in
camsonline.com,,phash64,image_hash_failed,https://www.camsonline.com/
canarabank.bank.in,,phash64,image_hash_failed,https://www.canarabank.bank.in/
canarabank.com,,phash64,fetch_failed,http://canarabank.com
canarahsbclife.com,,phash64,image_hash_failed,https://www.canarahsbclife.com/
canararobeco.com,cc131ccc7c13ecdc,phash64,success,https://www.canararobeco.com/
cats.census.gov.in,,phash64,image_hash_failed,https://cats.census.gov.in/bi-security-login/login.jsp;jsessionid=SPP3nqMqz4l9ziwvugY_DnzLMSEbutofUfNCQ27uAoOCGTYSWQ8U!-990805096?msi=false&mt=false&profileMust=true&redirect=L2R2L3VpL2hvbWUuanNwP2hhc2g9YzRrVkZISzFqb2hvRmV1SzliRFpzUW1Bc2J6ZXg4VFNHcVFqajhxcVlfTTNOWFJWNDB4UW5zMnF5WXdtTzYwRA==
