Application_ID,Source of detection,Identified Phishing/Suspected Domain Name,Corresponding CSE Domain Name,Critical Sector Entity Name,Phishing/Suspected Domains (i.e. Class Label),Date of detection (DD-MM-YYYY),Time of detection (HH-MM-SS),Remarks
,dnstwist_dns_active,http://aims.edu,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,03-05-2026,,cse_match_score=0.941176;source_file=dnstwist
,dnstwist_dns_active,http://aiims-edu.com,aiims.edu,All India Institute of Medical Sciences (AIIMS),Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://abdm.in,abdm.gov.in,National Health Authority (NHA),Unlabeled,03-05-2026,,cse_match_score=1.000000;source_file=dnstwist
,dnstwist_dns_active,http://airtelpayments.banke.in,airtelpayments.bank.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.933333;source_file=dnstwist
,dnstwist_dns_active,http://airtelpayments.banki.in,airtelpayments.bank.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.933333;source_file=dnstwist
,dnstwist_dns_active,http://airtelpayments.bankd.in,airtelpayments.bank.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.933333;source_file=dnstwist
,dnstwist_dns_active,http://airtelpayments.banka.in,airtelpayments.bank.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.933333;source_file=dnstwist
,dnstwist_dns_active,http://airtelpayments.bani.in,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://airtelpayments.fank.in,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://airtelpayments.bink.in,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://airtelpayments.rank.in,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://airtelpayments.bamk.in,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://airtelpayments.1bank.in,airtelpayments.bank.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.933333;source_file=dnstwist
,dnstwist_dns_active,http://airtelpayments.ibank.in,airtelpayments.bank.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.933333;source_file=dnstwist
,dnstwist_dns_active,http://airtelpayments.dark.in,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://airtelpayments.dank.in,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://airtelpayments.lbank.in,airtelpayments.bank.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.933333;source_file=dnstwist
,dnstwist_dns_active,http://airtelpayments.nank.in,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://airtelpaymentsbank.in,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://airtelpayments.bank-in.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://airtelpayments.bonk.in,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://airtell.in,airtel.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.947368;source_file=dnstwist
,dnstwist_dns_active,http://airtel3.in,airtel.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.947368;source_file=dnstwist
,dnstwist_dns_active,http://aartel.in,airtel.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.888889;source_file=dnstwist
,dnstwist_dns_active,http://airtal.in,airtel.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.888889;source_file=dnstwist
,dnstwist_dns_active,http://airten.in,airtel.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.888889;source_file=dnstwist
,dnstwist_dns_active,http://airvel.in,airtel.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.888889;source_file=dnstwist
,dnstwist_dns_active,http://airel.in,airtel.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.941176;source_file=dnstwist
,dnstwist_dns_active,http://airtl.in,airtel.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.941176;source_file=dnstwist
,dnstwist_dns_active,http://aitel.in,airtel.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.941176;source_file=dnstwist
,dnstwist_dns_active,http://airteel.in,airtel.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.947368;source_file=dnstwist
,dnstwist_dns_active,http://sirtel.in,airtel.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.888889;source_file=dnstwist
,dnstwist_dns_active,http://airtrl.in,airtel.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.888889;source_file=dnstwist
,dnstwist_dns_active,http://aortel.in,airtel.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.888889;source_file=dnstwist
,dnstwist_dns_active,http://aittel.in,airtel.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.888889;source_file=dnstwist
,dnstwist_dns_active,http://airtle.in,airtel.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.888889;source_file=dnstwist
,dnstwist_dns_active,http://aritel.in,airtel.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.888889;source_file=dnstwist
,dnstwist_dns_active,http://authwebmail.nict.in,accounts.mgovcloud.in,National Informatics Centre (NIC),Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://authwebmail.nice.in,accounts.mgovcloud.in,National Informatics Centre (NIC),Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://authwebmail.nici.in,accounts.mgovcloud.in,National Informatics Centre (NIC),Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://authwebmail.nib.in,authwebmail.nic.in,National Informatics Centre (NIC),Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://authwebmail.nia.in,authwebmail.nic.in,National Informatics Centre (NIC),Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://authwebmail.nmc.in,authwebmail.nic.in,National Informatics Centre (NIC),Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://authwebmail.nyc.in,authwebmail.nic.in,National Informatics Centre (NIC),Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://authwebmail.nle.in,authwebmail.nic.in,National Informatics Centre (NIC),Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://authwebmail.nif.in,authwebmail.nic.in,National Informatics Centre (NIC),Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://authwebmail.nix.in,authwebmail.nic.in,National Informatics Centre (NIC),Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://authwebmail.nci.in,authwebmail.nic.in,National Informatics Centre (NIC),Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://authwebmail.nicin.in,accounts.mgovcloud.in,National Informatics Centre (NIC),Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://axis.banke.in,airtelpayments.bank.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.933333;source_file=dnstwist
,dnstwist_dns_active,http://axis.banki.in,airtelpayments.bank.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.933333;source_file=dnstwist
,dnstwist_dns_active,http://axis.bankd.in,airtelpayments.bank.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.933333;source_file=dnstwist
,dnstwist_dns_active,http://axis.banka.in,airtelpayments.bank.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.933333;source_file=dnstwist
,dnstwist_dns_active,http://axis.bani.in,axis.bank.in,Axis Bank,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://axis.fank.in,axis.bank.in,Axis Bank,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://axis.bink.in,axis.bank.in,Axis Bank,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://axis.rank.in,axis.bank.in,Axis Bank,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://axis.bamk.in,axis.bank.in,Axis Bank,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://axis.1bank.in,airtelpayments.bank.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.933333;source_file=dnstwist
,dnstwist_dns_active,http://axis.ibank.in,airtelpayments.bank.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.933333;source_file=dnstwist
,dnstwist_dns_active,http://axis.dark.in,axis.bank.in,Axis Bank,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://axis.dank.in,axis.bank.in,Axis Bank,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://axis.lbank.in,airtelpayments.bank.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.933333;source_file=dnstwist
,dnstwist_dns_active,http://axis.nank.in,axis.bank.in,Axis Bank,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://axis.bank-in.com,axis.bank.in,Axis Bank,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://axis.bonk.in,axis.bank.in,Axis Bank,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://bankofbaroda.banke.in,airtelpayments.bank.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.933333;source_file=dnstwist
,dnstwist_dns_active,http://bankofbaroda.banki.in,airtelpayments.bank.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.933333;source_file=dnstwist
,dnstwist_dns_active,http://bankofbaroda.bankd.in,airtelpayments.bank.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.933333;source_file=dnstwist
,dnstwist_dns_active,http://bankofbaroda.banka.in,airtelpayments.bank.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.933333;source_file=dnstwist
,dnstwist_dns_active,http://bankofbaroda.bani.in,bankofbaroda.bank.in,Bank of Baroda,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://bankofbaroda.fank.in,bankofbaroda.bank.in,Bank of Baroda,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://bankofbaroda.bink.in,bankofbaroda.bank.in,Bank of Baroda,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://bankofbaroda.rank.in,bankofbaroda.bank.in,Bank of Baroda,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://bankofbaroda.bamk.in,bankofbaroda.bank.in,Bank of Baroda,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://bankofbaroda.1bank.in,airtelpayments.bank.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.933333;source_file=dnstwist
,dnstwist_dns_active,http://bankofbaroda.ibank.in,airtelpayments.bank.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.933333;source_file=dnstwist
,dnstwist_dns_active,http://bankofbaroda.dark.in,bankofbaroda.bank.in,Bank of Baroda,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://bankofbaroda.dank.in,bankofbaroda.bank.in,Bank of Baroda,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://bankofbaroda.lbank.in,airtelpayments.bank.in,Airtel,Unlabeled,03-05-2026,,cse_match_score=0.933333;source_file=dnstwist
,dnstwist_dns_active,http://bankofbaroda.nank.in,ana.crsorgi.gov.in,ana crs,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://bankofbaroda.bank-in.com,bankofbaroda.bank.in,Bank of Baroda,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://bankofbaroda.bonk.in,bankofbaroda.bank.in,Bank of Baroda,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://axismfg.com,axismf.com,Axis Bank,Unlabeled,03-05-2026,,cse_match_score=0.952381;source_file=dnstwist
,dnstwist_dns_active,http://axismff.com,axismf.com,Axis Bank,Unlabeled,03-05-2026,,cse_match_score=0.952381;source_file=dnstwist
,dnstwist_dns_active,http://axisif.com,axismf.com,Axis Bank,Unlabeled,03-05-2026,,cse_match_score=0.900000;source_file=dnstwist
,dnstwist_dns_active,http://axismd.com,axismf.com,Axis Bank,Unlabeled,03-05-2026,,cse_match_score=0.900000;source_file=dnstwist
,dnstwist_dns_active,http://axismv.com,axismf.com,Axis Bank,Unlabeled,03-05-2026,,cse_match_score=0.900000;source_file=dnstwist
,dnstwist_dns_active,http://axis-f.com,axismf.com,Axis Bank,Unlabeled,03-05-2026,,cse_match_score=0.909091;source_file=dnstwist
,dnstwist_dns_active,http://axismb.com,axismf.com,Axis Bank,Unlabeled,03-05-2026,,cse_match_score=0.900000;source_file=dnstwist
,dnstwist_dns_active,http://axismg.com,axismf.com,Axis Bank,Unlabeled,03-05-2026,,cse_match_score=0.900000;source_file=dnstwist
,dnstwist_dns_active,http://axis-mf.com,axismf.com,Axis Bank,Unlabeled,03-05-2026,,cse_match_score=1.000000;source_file=dnstwist
,dnstwist_dns_active,http://aismf.com,axismf.com,Axis Bank,Unlabeled,03-05-2026,,cse_match_score=0.947368;source_file=dnstwist
,dnstwist_dns_active,http://axisf.com,axismf.com,Axis Bank,Unlabeled,03-05-2026,,cse_match_score=0.947368;source_file=dnstwist
,dnstwist_dns_active,http://axism.com,axismf.com,Axis Bank,Unlabeled,03-05-2026,,cse_match_score=0.947368;source_file=dnstwist
