lexical_similarity_score,min_edit_distance_to_brand_domain,homoglyph_similarity_score,brand_token_in_subdomain,brand_token_in_path,brand_not_in_registered_domain,subdomain_depth,dns_check_pass,dns_resolves_to_ip,cname_exists,cname_chain_length,nameserver_reputation_score,passive_dns_first_seen_days,domain_age_days,domain_expiry_days,registrar_reputation_score,asn_reputation_score,ip_seen_with_many_brands,https_enabled,ssl_valid,cert_age_days,ct_log_first_seen_days,url_fetch_success,redirect_count,redirect_cross_domain_count,page_render_success,has_login_form,has_password_input,form_action_external,logo_detected,logo_brand_matches_target_brand,logo_brand_domain_mismatch,favicon_hash_matches_target_brand,favicon_hash_matches_known_phish,html_dom_hash_matches_known_phish,high_lexical_similarity,page_fetch_success,no_login_form,no_brand_visual_claim,brand_token_or_logo_present,visual_brand_domain_mismatch,same_html_hash_domain_count_7d,suspected_inactive,suspected_active_infra,suspected_active_no_phish_evidence,phishing,phishing_campaign,validation_status,validation_reason,extraction_status,dns_status,rdap_status,whois_status,http_status,tls_status,page_status,label
0.85,0,0.85,1,0,1,6,1,1,0,0,6,-1,1097,364,4,-1,0,1,0,-1,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,1,0,0,suspected_active_no_phish_evidence,active page without login form or brand visual claim,partial,success,success,skipped,success,invalid,success,0
0.85,0,0.85,1,0,1,4,1,1,0,0,6,-1,333,32,6,-1,0,1,1,28,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,1,0,0,suspected_active_no_phish_evidence,active page without login form or brand visual claim,complete,success,success,skipped,success,success,success,0
0.85,0,0.85,1,0,1,4,1,1,0,0,6,-1,1,364,6,-1,0,1,0,-1,-1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,phishing,visual brand-domain mismatch,partial,success,success,skipped,success,invalid,success,1
0.857143,0,0.857143,0,0,0,0,1,1,0,0,6,-1,69,1027,8,-1,1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,144,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,http_403,invalid,success,0
0.85,0,0.85,0,0,0,0,1,1,0,0,6,-1,70,660,8,-1,1,1,1,9,-1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,phishing,visual brand-domain mismatch,complete,success,success,skipped,success,success,success,1
0.969697,0,0.969697,0,0,0,0,1,1,0,0,6,-1,69,296,8,-1,1,1,1,8,-1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,phishing,visual brand-domain mismatch,complete,success,success,skipped,success,success,success,1
0.85,0,0.85,0,0,0,0,1,1,0,0,8,-1,69,296,6,-1,0,1,1,10,-1,1,2,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,suspected_unconfirmed,high lexical similarity but insufficient phishing evidence,complete,success,success,skipped,success,success,success,0
1.0,0,1.0,0,0,0,0,1,1,0,0,8,-1,69,296,6,-1,0,1,1,9,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,http_403,success,success,0
0.85,0,0.85,0,0,0,0,1,1,0,0,6,-1,39,326,8,-1,1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,144,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,http_403,invalid,success,0
0.85,0,0.85,0,0,0,0,1,1,0,0,6,-1,38,327,4,8,0,1,1,38,-1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,phishing,visual brand-domain mismatch,complete,success,success,skipped,success,success,success,1
0.85,0,0.85,0,0,0,0,1,1,0,0,8,-1,39,326,6,-1,1,1,1,39,-1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,phishing,visual brand-domain mismatch,complete,success,success,skipped,success,success,success,1
0.85,0,0.85,0,0,0,0,1,1,0,0,6,-1,38,1788,8,6,0,1,1,6,-1,1,2,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,phishing,password input plus brand token/logo evidence,complete,success,success,skipped,success,success,success,1
0.85,0,0.85,0,0,0,0,1,1,0,0,8,-1,38,327,4,-1,0,1,1,38,-1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,phishing,visual brand-domain mismatch,complete,success,success,skipped,success,success,success,1
0.85,0,0.85,0,0,0,0,1,1,0,0,6,-1,38,327,8,-1,1,1,1,35,-1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,phishing,visual brand-domain mismatch,complete,success,success,skipped,success,success,success,1
0.85,0,0.85,0,0,0,0,1,1,0,0,8,-1,38,327,6,-1,0,1,1,34,-1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,phishing,visual brand-domain mismatch,complete,success,success,skipped,success,success,success,1
0.85,0,0.85,0,0,0,0,1,1,0,0,6,-1,38,1788,8,-1,1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,144,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,http_403,invalid,success,0
0.85,0,0.85,0,0,0,0,1,1,0,0,6,-1,66,299,8,-1,0,1,1,66,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,http_403,success,success,0
0.85,0,0.85,0,0,0,0,1,1,0,0,6,-1,66,299,6,-1,0,1,1,6,-1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,phishing,visual brand-domain mismatch,complete,success,success,skipped,success,success,success,1
0.866667,0,0.866667,0,0,0,0,1,1,0,0,6,-1,66,299,8,-1,1,1,1,66,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,partial,success,success,skipped,http_404,success,success,0
0.85,0,0.85,0,0,0,0,1,1,0,0,8,-1,66,299,4,8,0,1,1,5,-1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,phishing,visual brand-domain mismatch,complete,success,success,skipped,success,success,success,1
0.85,0,0.85,0,0,0,0,1,1,0,0,4,-1,24,341,6,-1,0,1,1,24,-1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,phishing,visual brand-domain mismatch,complete,success,success,skipped,success,success,success,1
0.85,0,0.85,0,0,0,0,1,1,0,0,8,-1,24,341,8,6,0,1,1,24,-1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,phishing,visual brand-domain mismatch,complete,success,success,skipped,success,success,success,1
0.947368,0,0.947368,0,0,0,0,1,1,0,0,8,-1,25,340,6,-1,1,1,1,25,-1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,phishing,visual brand-domain mismatch,complete,success,success,skipped,success,success,success,1
