url,domain,target_brand_domain,critical_sector_entity_name,source_label,source_file,source_row,detection_date,evidence_file,sandbox_verdict,sandbox_reason,application_id,source_of_detection,having_ip,have_at_symbol,url_length,url_depth,redirection,http_domain,tiny_url,prefix_suffix,digit_count,special_char_count,entropy,lexical_similarity_score,min_edit_distance_to_brand_domain,homoglyph_similarity_score,brand_token_in_subdomain,brand_token_in_path,brand_not_in_registered_domain,subdomain_depth,matched_brand_domain,registered_domain,dns_check_pass,dns_resolves_to_ip,resolved_ips,cname_exists,cname_chain_length,nameserver_reputation_score,passive_dns_first_seen_days,domain_age_days,domain_expiry_days,registrar_reputation_score,asn_reputation_score,ip_seen_with_many_brands,https_enabled,ssl_valid,cert_age_days,ct_log_first_seen_days,url_fetch_success,page_fetch_success,redirect_count,redirect_cross_domain_count,page_render_success,has_login_form,has_password_input,form_action_external,brand_token_or_logo_present,logo_detected,logo_brand_matches_target_brand,logo_brand_domain_mismatch,visual_brand_domain_mismatch,favicon_hash,favicon_hash_matches_target_brand,favicon_hash_matches_known_phish,html_dom_hash,html_dom_hash_matches_known_phish,same_html_hash_domain_count_7d,fetch_status_code,fetch_error,dns_error,tls_error,dns_status,http_status,tls_status,page_status,rdap_status,whois_status,extraction_status,high_lexical_similarity,no_login_form,no_brand_visual_claim,suspected_inactive,suspected_active_infra,suspected_active_no_phish_evidence,phishing,phishing_campaign,validation_status,validation_reason,label_conflict,include_in_ml,label,pu_training_role,pu_cv_role,pu_cv_fold,pu_cv_score,pu_cv_prediction
http://crsorgi.gov.in.web.index.php.aoth.in,crsorgi.gov.in.web.index.php.aoth.in,ana.crsorgi.gov.in,ana crs,unknown,binary_labelled_dataset_pu.csv,4294,,,,,,,0,0,43,0,0,0,0,0,0,0,4.04426656946441,0.85,0,0.85,1,0,1,6,ana.crsorgi.gov.in,aoth.in,1,1,95.217.44.98,0,0,6,-1,1097,364,4,6,0,1,0,-1,-1,1,1,1,0,1,0,0,0,0,0,0,0,0,,0,0,acaa72c697923b1f,0,3,200,,AAAA:NoAnswer;CNAME:NoAnswer,SSLCertVerificationError,success,success,invalid,success,success,skipped,partial,1,1,1,0,0,1,0,0,suspected_active_no_phish_evidence,active page without login form or brand visual claim,0,1,0,unlabeled,,,,
http://dc.crsorgi.gov.in.portalwalalive.in,dc.crsorgi.gov.in.portalwalalive.in,ana.crsorgi.gov.in,ana crs,unknown,binary_labelled_dataset_pu.csv,4296,,,,,,,0,0,42,0,0,0,0,0,0,0,4.073648899320328,0.85,0,0.85,1,0,1,4,ana.crsorgi.gov.in,portalwalalive.in,1,1,95.217.44.98,0,0,6,-1,333,32,6,6,0,1,1,28,-1,1,1,1,0,1,0,0,0,0,0,0,0,0,,0,0,acaa72c697923b1f,0,3,200,,AAAA:NoAnswer;CNAME:NoAnswer,,success,success,success,success,success,skipped,complete,1,1,1,0,0,1,0,0,suspected_active_no_phish_evidence,active page without login form or brand visual claim,0,1,0,unlabeled,,,,
http://dc.crsorgi.gov.in.verifyinfo.xyz,dc.crsorgi.gov.in.verifyinfo.xyz,ana.crsorgi.gov.in,ana crs,unknown,binary_labelled_dataset_pu.csv,4459,,,,,,,0,0,39,0,0,0,0,0,0,0,4.128494129663178,0.85,0,0.85,1,0,1,4,ana.crsorgi.gov.in,verifyinfo.xyz,1,1,103.224.182.215,0,0,6,-1,1,364,6,6,0,1,0,-1,-1,1,1,0,0,1,0,0,0,1,0,0,1,1,,0,0,4e3f3b0db6dd71ba,0,1,200,,AAAA:NoAnswer;CNAME:NoAnswer,SSLCertVerificationError,success,success,invalid,success,success,skipped,partial,1,1,0,0,0,0,1,0,phishing,visual brand-domain mismatch,0,1,1,positive_validation,positive,1,0.9946981304756138,1
http://zuidai.top,zuidai.top,uidai.gov.in,Unique Identification Authority of India (UIDAI),unknown,binary_labelled_dataset_pu.csv,5424,,,,,,,0,0,17,0,0,0,0,0,0,0,3.4548223999466066,0.909091,0,0.909091,0,0,0,0,uidai.gov.in,zuidai.top,1,1,168.76.166.4,0,0,6,-1,1,364,6,6,0,1,0,-1,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,,0,0,446a2b24f4c50d00,0,5,200,,AAAA:NoAnswer;CNAME:NoAnswer,SSLCertVerificationError,success,success,invalid,success,success,skipped,partial,1,1,1,0,0,1,0,0,suspected_active_no_phish_evidence,active page without login form or brand visual claim,0,1,0,unlabeled,,,,
http://jcbincometax.com,jcbincometax.com,contents.tdscpc.gov.in,Income Tax Department,unknown,whois_lexical_matches_filtered_dns_ok.xlsx,2,,,,,,,0,0,23,0,0,0,0,0,0,0,3.8492239123906247,0.857143,0,0.857143,0,0,0,0,incometax.gov.in,jcbincometax.com,1,1,15.197.148.33;3.33.130.190,0,0,6,-1,69,1027,8,8,1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,f5377ba677eb9f99,0,144,403,,AAAA:NoAnswer;CNAME:NoAnswer,SSLEOFError,success,http_403,invalid,success,success,skipped,partial,1,1,1,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,0,1,0,reliable_negative,reliable_negative,1,0.0017158931082981717,0
http://phoenixincometax.net,phoenixincometax.net,contents.tdscpc.gov.in,Income Tax Department,unknown,whois_lexical_matches_filtered_dns_ok.xlsx,3,,,,,,,0,0,27,0,0,0,0,0,0,0,3.661932872373582,0.85,0,0.85,0,0,0,0,contents.tdscpc.gov.in,phoenixincometax.net,1,1,13.248.243.5;76.223.105.230,0,0,6,-1,70,660,8,8,1,1,1,9,-1,1,1,1,0,1,1,0,0,1,0,0,1,1,969738de61618667,0,0,171409c67cef51b5,0,1,200,,AAAA:NoAnswer;CNAME:NoAnswer,,success,success,success,success,success,skipped,complete,1,0,0,0,0,0,1,0,phishing,visual brand-domain mismatch,0,1,1,positive,positive,5,0.9991743119266054,1
http://icicilombards.com,icicilombards.com,icicilombard.com,ICICI Bank,unknown,whois_lexical_matches_filtered_dns_ok.xlsx,4,,,,,,,0,0,24,0,0,0,0,0,0,0,3.855388542207534,0.969697,0,0.969697,0,0,0,0,icicilombard.com,icicilombards.com,1,1,13.248.243.5;76.223.105.230,0,0,6,-1,69,296,8,8,1,1,1,8,-1,1,1,1,0,1,0,0,0,1,0,0,1,1,969738de61618667,0,0,057492ef40aa4665,0,1,200,,AAAA:NoAnswer;CNAME:NoAnswer,,success,success,success,success,success,skipped,complete,1,1,0,0,0,0,1,0,phishing,visual brand-domain mismatch,0,1,1,positive,positive,3,0.9977314939181302,1
http://tzedakavachesed.org,tzedakavachesed.org,kavach.mail.gov.in,National Informatics Centre (NIC),unknown,whois_lexical_matches_filtered_dns_ok.xlsx,5,,,,,,,0,0,26,0,0,0,0,0,0,0,3.921029621737615,0.85,0,0.85,0,0,0,0,kavach.mail.gov.in,tzedakavachesed.org,1,1,104.21.39.224;172.67.149.96;2606:4700:3030::ac43:9560;2606:4700:3036::6815:27e0,0,0,8,-1,69,296,6,-1,0,1,1,10,-1,1,1,2,0,1,1,1,0,0,0,0,0,0,,0,0,,0,0,200,,CNAME:NoAnswer,,success,success,success,success,success,skipped,complete,1,0,1,0,0,0,0,0,suspected_unconfirmed,high lexical similarity but insufficient phishing evidence,0,1,0,unlabeled,,,,
http://parivahan.top,parivahan.top,parivahan.gov.in,parivahan sewa,unknown,whois_lexical_matches_filtered_dns_ok.xlsx,6,,,,,,,0,0,20,0,0,0,0,0,0,0,3.408694969562842,1.0,0,1.0,0,0,0,0,parivahan.gov.in,parivahan.top,1,1,104.21.43.191;172.67.184.79;2606:4700:3030::ac43:b84f;2606:4700:3031::6815:2bbf,0,0,8,-1,69,296,6,8,0,1,1,9,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,e4292ba594cd5e4e,0,1,403,,CNAME:NoAnswer,,success,http_403,success,success,success,skipped,partial,1,1,1,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,0,1,0,unlabeled,,,,
http://indusindpro.in,indusindpro.in,indusind.bank.in,IndusInd Bank,unknown,whois_lexical_matches_filtered_dns_ok.xlsx,7,,,,,,,0,0,21,0,0,0,0,0,0,0,3.558518613048906,0.85,0,0.85,0,0,0,0,indusind.bank.in,indusindpro.in,1,1,15.197.148.33;3.33.130.190,0,0,6,-1,39,326,8,8,1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,f5377ba677eb9f99,0,144,403,,AAAA:NoAnswer;CNAME:NoAnswer,SSLEOFError,success,http_403,invalid,success,success,skipped,partial,1,1,1,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,0,1,0,reliable_negative,reliable_negative,1,0.0,0
